Country,YearsCode,EdLevel,Employment,LanguageHaveWorkedWith,ConvertedCompYearly
Switzerland,25.0,Professional,Full-time,4.0,210788.0
United States of America,16.0,Bachelor's,Full-time,3.0,150000.0
United Kingdom of Great Britain and Northern Ireland,45.0,Master's,Full-time,4.0,115720.0
Other,8.0,Master's,Full-time,4.0,20677.0
Canada,17.0,Master's,Full-time,2.0,72958.0
Other,12.0,Master's,Full-time,1.0,13615.0
United States of America,25.0,Bachelor's,Full-time,2.0,116000.0
Other,15.0,Master's,Full-time,9.0,87011.0
United States of America,22.0,Bachelor's,Full-time,6.0,90000.0
Brazil,15.0,Master's,Full-time,11.0,36407.0
Italy,20.0,Master's,Full-time,4.0,139218.0
Spain,8.0,Bachelor's,Full-time,5.0,25523.0
Other,8.0,Bachelor's,Full-time,3.0,13649.0
United Kingdom of Great Britain and Northern Ireland,10.0,Bachelor's,Full-time,4.0,81685.0
Other,30.0,Bachelor's,Full-time,6.0,58007.0
Other,42.0,Professional,Full-time,5.0,167061.0
United States of America,40.0,Some college,Full-time,8.0,195000.0
Germany,41.0,High school,Full-time,7.0,145018.0
United States of America,27.0,Master's,Full-time,2.0,155000.0
Canada,20.0,Bachelor's,Full-time,8.0,80254.0
Italy,22.0,High school,Full-time,6.0,83531.0
Canada,15.0,Bachelor's,Full-time,7.0,109438.0
Other,24.0,Bachelor's,Full-time,3.0,87561.0
United States of America,30.0,Bachelor's,Full-time,4.0,75000.0
United Kingdom of Great Britain and Northern Ireland,30.0,Master's,Full-time,5.0,88492.0
United States of America,10.0,Bachelor's,Full-time,10.0,131000.0
United States of America,16.0,Bachelor's,Full-time,7.0,120000.0
Netherlands,15.0,Bachelor's,Full-time,,15546.0
Germany,15.0,Master's,Full-time,5.0,81210.0
Other,9.0,Some college,Student,6.0,48726.0
Spain,10.0,Master's,Full-time,6.0,41765.0
Canada,25.0,Bachelor's,Full-time,11.0,71499.0
United States of America,45.0,Master's,Full-time,6.0,45000.0
Canada,27.0,Bachelor's,Full-time,10.0,65663.0
Canada,16.0,High school,Full-time,7.0,113085.0
Switzerland,13.0,Bachelor's,Full-time,5.0,94235.0
Spain,7.0,Some college,Full-time,5.0,440856.0
United States of America,24.0,Bachelor's,Full-time,5.0,295000.0
Netherlands,18.0,Bachelor's,Full-time,5.0,113694.0
United States of America,9.0,Bachelor's,Full-time,10.0,80000.0
United States of America,28.0,Bachelor's,Full-time,5.0,350000.0
Italy,6.0,Some college,Full-time,4.0,39445.0
India,10.0,Bachelor's,Full-time,3.0,20109.0
Other,10.0,Associate's,Full-time,11.0,43375.0
United States of America,3.0,Some college,Full-time,5.0,87000.0
Other,8.0,Master's,Full-time,6.0,66017.0
Germany,9.0,Master's,Full-time,5.0,75410.0
France,8.0,Master's,Full-time,4.0,27844.0
Germany,10.0,Some college,Student,10.0,13922.0
United States of America,15.0,Some college,Full-time,3.0,185000.0
Germany,10.0,Professional,Full-time,6.0,83531.0
Switzerland,9.0,Some college,Full-time,4.0,114981.0
Poland,15.0,Master's,Full-time,7.0,130992.0
United States of America,45.0,Bachelor's,Full-time,5.0,150000.0
United States of America,15.0,Master's,Full-time,6.0,200000.0
France,40.0,Master's,Full-time,5.0,69609.0
Italy,12.0,Some college,Full-time,6.0,31324.0
Brazil,37.0,Master's,Full-time,7.0,91018.0
Germany,17.0,Master's,Full-time,7.0,75410.0
Other,10.0,Some college,Full-time,6.0,91899.0
Other,20.0,Bachelor's,Full-time,6.0,156000.0
Other,8.0,Master's,Full-time,7.0,19983.0
United States of America,20.0,Bachelor's,Full-time,4.0,165000.0
Germany,35.0,Professional,Full-time,4.0,75410.0
Germany,20.0,Bachelor's,Full-time,6.0,104413.0
Other,32.0,Some college,Full-time,16.0,44086.0
United Kingdom of Great Britain and Northern Ireland,14.0,Some college,Full-time,3.0,120485.0
United Kingdom of Great Britain and Northern Ireland,1.0,Professional,Full-time,2.0,68071.0
United States of America,1.0,Bachelor's,Full-time,,75000.0
Other,11.0,Bachelor's,Full-time,5.0,98842.0
Italy,39.0,High school,Full-time,3.0,46406.0
Germany,16.0,Master's,Full-time,8.0,116015.0
Other,15.0,Bachelor's,Full-time,4.0,148499.0
Other,9.0,Master's,Full-time,7.0,17402.0
Germany,53.0,Bachelor's,Other,6.0,41765.0
Canada,15.0,Bachelor's,Full-time,6.0,72958.0
Sweden,26.0,Primary school,Full-time,7.0,11530.0
Canada,40.0,Bachelor's,Full-time,3.0,94846.0
United Kingdom of Great Britain and Northern Ireland,28.0,Bachelor's,Full-time,4.0,49011.0
Germany,36.0,Master's,Full-time,1.0,58007.0
Canada,20.0,Professional,Full-time,1.0,102142.0
United Kingdom of Great Britain and Northern Ireland,23.0,Master's,Full-time,3.0,74878.0
France,25.0,Master's,Full-time,5.0,87011.0
United Kingdom of Great Britain and Northern Ireland,33.0,Bachelor's,Full-time,8.0,129334.0
Other,19.0,Some college,Full-time,8.0,108000.0
Other,30.0,Master's,Full-time,6.0,63808.0
United States of America,33.0,Bachelor's,Full-time,5.0,190000.0
Spain,10.0,Master's,Full-time,5.0,34804.0
United States of America,25.0,Some college,Full-time,8.0,155000.0
Other,5.0,High school,Full-time,7.0,38981.0
Brazil,7.0,Bachelor's,Full-time,3.0,41765.0
Germany,16.0,Bachelor's,Full-time,6.0,116015.0
United Kingdom of Great Britain and Northern Ireland,30.0,Master's,Full-time,5.0,136141.0
Ukraine,12.0,Bachelor's,Full-time,8.0,22456.0
United States of America,9.0,Bachelor's,Full-time,16.0,70000.0
United States of America,25.0,Master's,Full-time,2.0,140000.0
Other,18.0,Professional,Full-time,5.0,78000.0
Germany,13.0,Bachelor's,Full-time,5.0,63808.0
Switzerland,33.0,Some college,Full-time,10.0,210788.0
Canada,22.0,Bachelor's,Full-time,3.0,248250.0
Other,11.0,Bachelor's,Full-time,4.0,18562.0
Other,8.0,Some college,Full-time,5.0,39923.0
Netherlands,30.0,Some college,Full-time,8.0,220428.0
United States of America,22.0,Bachelor's,Full-time,5.0,200000.0
Other,32.0,Bachelor's,Full-time,7.0,202416.0
Other,20.0,Master's,Full-time,7.0,98612.0
Germany,30.0,Bachelor's,Full-time,9.0,69609.0
United Kingdom of Great Britain and Northern Ireland,2.0,Master's,Other,7.0,40842.0
United States of America,20.0,Bachelor's,Full-time,,165000.0
United States of America,10.0,Master's,Full-time,3.0,260000.0
United Kingdom of Great Britain and Northern Ireland,16.0,Bachelor's,Full-time,7.0,97682.0
Other,16.0,Bachelor's,Full-time,6.0,140000.0
Canada,18.0,Master's,Full-time,4.0,98494.0
United States of America,10.0,Bachelor's,Full-time,3.0,135000.0
Switzerland,10.0,Bachelor's,Full-time,5.0,61996.0
United States of America,10.0,Bachelor's,Full-time,7.0,110000.0
Other,25.0,Professional,Full-time,9.0,58828.0
United States of America,9.0,Bachelor's,Full-time,6.0,81000.0
United Kingdom of Great Britain and Northern Ireland,10.0,Master's,Full-time,10.0,91215.0
Ukraine,24.0,Master's,Full-time,2.0,60000.0
Germany,15.0,Master's,Full-time,10.0,104413.0
Germany,20.0,Master's,Full-time,4.0,107894.0
Other,33.0,Master's,Full-time,8.0,92812.0
United States of America,24.0,High school,Full-time,6.0,80000.0
Other,12.0,Master's,Full-time,23.0,150819.0
United States of America,10.0,Some college,Full-time,3.0,60000.0
Netherlands,18.0,Bachelor's,Full-time,1.0,51274.0
United States of America,29.0,Master's,Full-time,9.0,140000.0
Poland,14.0,Some college,Full-time,8.0,60518.0
United States of America,50.0,Master's,Full-time,8.0,140000.0
Canada,10.0,Bachelor's,Full-time,6.0,145917.0
Sweden,18.0,Master's,Full-time,3.0,83531.0
United States of America,28.0,Bachelor's,Full-time,6.0,162000.0
Germany,27.0,Master's,Full-time,,117175.0
Sweden,18.0,Professional,Full-time,5.0,83857.0
Other,4.0,Master's,Full-time,7.0,12533.0
India,13.0,Master's,Full-time,,79043.0
Spain,12.0,Bachelor's,Full-time,3.0,63808.0
United States of America,40.0,Bachelor's,Full-time,6.0,150000.0
United States of America,15.0,Some college,Full-time,8.0,135000.0
France,20.0,Master's,Full-time,6.0,52207.0
Italy,36.0,High school,Full-time,8.0,34804.0
Poland,20.0,Master's,Full-time,3.0,109160.0
Other,6.0,Bachelor's,Full-time,4.0,12633.0
Switzerland,48.0,Professional,Full-time,4.0,223187.0
United Kingdom of Great Britain and Northern Ireland,25.0,Bachelor's,Full-time,6.0,106190.0
United Kingdom of Great Britain and Northern Ireland,22.0,Master's,Full-time,3.0,76512.0
France,5.0,Professional,Full-time,7.0,23203.0
United Kingdom of Great Britain and Northern Ireland,14.0,Some college,Full-time,10.0,81685.0
United States of America,12.0,Bachelor's,Full-time,9.0,106000.0
Germany,16.0,Master's,Full-time,4.0,139218.0
United States of America,9.0,Bachelor's,Full-time,10.0,100000.0
Spain,44.0,Primary school,Full-time,4.0,20883.0
United States of America,26.0,Bachelor's,Full-time,5.0,250000.0
United Kingdom of Great Britain and Northern Ireland,31.0,Bachelor's,Full-time,8.0,74878.0
United States of America,25.0,Some college,Full-time,5.0,210000.0
Brazil,20.0,Master's,Full-time,2.0,24211.0
India,3.0,Bachelor's,Full-time,4.0,11624.0
Spain,22.0,Bachelor's,Full-time,11.0,127616.0
Sweden,35.0,Master's,Full-time,3.0,84277.0
United States of America,40.0,Master's,Full-time,5.0,175000.0
Other,25.0,Bachelor's,Full-time,9.0,52207.0
United States of America,35.0,Bachelor's,Full-time,8.0,250000.0
Other,16.0,Bachelor's,Full-time,3.0,116015.0
Netherlands,11.0,Bachelor's,Full-time,7.0,63808.0
United States of America,20.0,High school,Full-time,6.0,100000.0
France,18.0,Associate's,Full-time,5.0,46406.0
Canada,31.0,Some college,Full-time,11.0,109438.0
Netherlands,37.0,High school,Full-time,13.0,75410.0
United States of America,42.0,Bachelor's,Full-time,3.0,125000.0
Italy,30.0,Some college,Full-time,2.0,34804.0
Other,10.0,Bachelor's,Full-time,5.0,14544.0
Switzerland,30.0,Professional,Full-time,7.0,164911.0
France,13.0,Master's,Full-time,1.0,78890.0
United Kingdom of Great Britain and Northern Ireland,35.0,Primary school,Full-time,6.0,68071.0
Other,20.0,Bachelor's,Full-time,17.0,19345.0
Germany,29.0,Master's,Full-time,4.0,119495.0
Canada,3.0,Bachelor's,Full-time,8.0,65663.0
Canada,8.0,Professional,Full-time,5.0,58367.0
Other,6.0,Primary school,Full-time,7.0,10133.0
Italy,15.0,Bachelor's,Full-time,9.0,52207.0
France,3.0,High school,Full-time,4.0,48726.0
France,22.0,Master's,Full-time,9.0,92812.0
Germany,8.0,Master's,Full-time,7.0,83531.0
Canada,5.0,Bachelor's,Full-time,5.0,43775.0
Other,25.0,Professional,Full-time,9.0,148496.0
United Kingdom of Great Britain and Northern Ireland,26.0,Bachelor's,Full-time,3.0,163370.0
Netherlands,20.0,Bachelor's,Full-time,6.0,127616.0
Brazil,26.0,Master's,Full-time,7.0,70994.0
United States of America,10.0,Bachelor's,Full-time,6.0,200000.0
Other,18.0,Bachelor's,Full-time,6.0,214240.0
United Kingdom of Great Britain and Northern Ireland,46.0,Bachelor's,Full-time,4.0,163370.0
Other,25.0,Bachelor's,Full-time,10.0,81210.0
United States of America,28.0,Master's,Full-time,6.0,208000.0
India,15.0,Bachelor's,Full-time,5.0,232479.0
Germany,13.0,Bachelor's,Full-time,11.0,69609.0
Other,11.0,Master's,Full-time,4.0,127616.0
Germany,15.0,Bachelor's,Full-time,3.0,98612.0
Other,25.0,High school,Full-time,6.0,35584.0
United States of America,38.0,Bachelor's,Full-time,7.0,99000.0
United States of America,20.0,Bachelor's,Full-time,1.0,240000.0
United States of America,10.0,Bachelor's,Full-time,6.0,150000.0
United Kingdom of Great Britain and Northern Ireland,11.0,Bachelor's,Full-time,8.0,156563.0
Canada,20.0,Bachelor's,Full-time,5.0,109438.0
Other,8.0,Bachelor's,Full-time,3.0,12347.0
United States of America,40.0,Some college,Full-time,7.0,162000.0
Sweden,43.0,Master's,Full-time,6.0,115304.0
United States of America,16.0,Bachelor's,Full-time,4.0,160000.0
United States of America,7.0,Bachelor's,Full-time,4.0,90000.0
United States of America,14.0,Bachelor's,Full-time,8.0,230000.0
Other,9.0,Bachelor's,Full-time,5.0,30297.0
Netherlands,9.0,Master's,Full-time,4.0,52207.0
Other,30.0,Some college,Full-time,8.0,59398.0
United States of America,22.0,Bachelor's,Full-time,7.0,175000.0
United States of America,35.0,Bachelor's,Full-time,8.0,104000.0
United Kingdom of Great Britain and Northern Ireland,10.0,High school,Full-time,10.0,72155.0
United States of America,15.0,Bachelor's,Full-time,11.0,135000.0
Other,25.0,High school,Full-time,5.0,117014.0
United States of America,21.0,Bachelor's,Full-time,8.0,275000.0
Canada,15.0,Associate's,Full-time,6.0,73688.0
United States of America,20.0,Some college,Full-time,15.0,125000.0
Other,47.0,Bachelor's,Full-time,9.0,110000.0
Other,21.0,High school,Full-time,8.0,242148.0
Germany,16.0,Master's,Full-time,3.0,52207.0
Other,30.0,High school,Full-time,4.0,90000.0
Germany,14.0,Master's,Full-time,8.0,126456.0
Germany,28.0,Master's,Full-time,5.0,98612.0
Other,37.0,Some college,Full-time,11.0,201139.0
United States of America,36.0,Bachelor's,Other,4.0,100000.0
United States of America,35.0,High school,Full-time,6.0,250000.0
United States of America,14.0,Bachelor's,Full-time,5.0,173250.0
Other,13.0,Bachelor's,Full-time,7.0,43897.0
Spain,14.0,Some college,Full-time,6.0,96524.0
United States of America,26.0,Bachelor's,Full-time,12.0,205000.0
Other,23.0,Bachelor's,Full-time,4.0,81210.0
United States of America,11.0,Associate's,Full-time,6.0,120000.0
Other,35.0,Master's,Full-time,4.0,71657.0
United Kingdom of Great Britain and Northern Ireland,10.0,Bachelor's,Full-time,7.0,118443.0
India,20.0,Master's,Full-time,11.0,116240.0
United States of America,25.0,Master's,Full-time,5.0,300000.0
Germany,23.0,Master's,Full-time,6.0,104413.0
Canada,11.0,Bachelor's,Full-time,7.0,72958.0
United States of America,52.0,Bachelor's,Full-time,7.0,195000.0
Other,25.0,Bachelor's,Full-time,6.0,129936.0
United States of America,12.0,Bachelor's,Full-time,6.0,120000.0
Other,31.0,Master's,Full-time,12.0,191424.0
Other,15.0,Bachelor's,Full-time,2.0,29648.0
United States of America,10.0,Bachelor's,Full-time,1.0,175000.0
Other,7.0,Bachelor's,Full-time,12.0,300000.0
Other,6.0,Bachelor's,Full-time,6.0,18000.0
United States of America,36.0,Some college,Full-time,6.0,120000.0
Other,5.0,Bachelor's,Student,7.0,16664.0
United States of America,12.0,Master's,Full-time,9.0,330000.0
Germany,12.0,Bachelor's,Full-time,8.0,55687.0
France,41.0,Professional,Full-time,9.0,185623.0
United Kingdom of Great Britain and Northern Ireland,14.0,High school,Full-time,4.0,176984.0
United States of America,45.0,High school,Full-time,2.0,40000.0
Canada,30.0,Bachelor's,Full-time,6.0,167804.0
Italy,12.0,High school,Full-time,7.0,40605.0
Other,25.0,Some college,Full-time,5.0,63808.0
Other,6.0,Bachelor's,Full-time,8.0,15036.0
United States of America,12.0,Bachelor's,Full-time,,120000.0
Canada,25.0,Bachelor's,Other,8.0,167804.0
Germany,12.0,Master's,Full-time,6.0,104413.0
Germany,12.0,Bachelor's,Full-time,9.0,60328.0
Poland,25.0,Master's,Full-time,11.0,60000.0
Italy,38.0,Some college,Full-time,9.0,49886.0
Other,16.0,Some college,Full-time,13.0,48132.0
Other,12.0,Bachelor's,Full-time,9.0,65073.0
United States of America,6.0,Master's,Full-time,7.0,130000.0
Other,8.0,High school,Full-time,9.0,67400.0
United States of America,9.0,Master's,Full-time,2.0,160000.0
Other,13.0,Bachelor's,Full-time,3.0,21816.0
Sweden,15.0,Some college,Full-time,6.0,146750.0
United States of America,17.0,Associate's,Full-time,6.0,127500.0
United Kingdom of Great Britain and Northern Ireland,40.0,Some college,Full-time,11.0,106190.0
Other,13.0,Some college,Full-time,7.0,269154.0
United States of America,40.0,Master's,Full-time,12.0,120000.0
Netherlands,42.0,Bachelor's,Full-time,5.0,139218.0
Italy,15.0,Bachelor's,Full-time,3.0,40605.0
United States of America,20.0,Master's,Full-time,7.0,185000.0
Other,12.0,Bachelor's,Full-time,3.0,45934.0
United States of America,45.0,Other,Full-time,8.0,140000.0
United States of America,25.0,Master's,Full-time,5.0,210000.0
Sweden,40.0,Bachelor's,Full-time,7.0,79245.0
Other,6.0,Bachelor's,Full-time,7.0,17402.0
United Kingdom of Great Britain and Northern Ireland,40.0,Bachelor's,Other,1.0,13614.0
Other,31.0,Bachelor's,Full-time,8.0,75410.0
Other,18.0,Associate's,Full-time,6.0,70000.0
United Kingdom of Great Britain and Northern Ireland,12.0,Some college,Full-time,4.0,78281.0
Germany,15.0,Bachelor's,Full-time,8.0,104413.0
Canada,40.0,Professional,Full-time,4.0,97764.0
Germany,43.0,Master's,Full-time,7.0,69609.0
Brazil,8.0,Bachelor's,Full-time,2.0,17840.0
Other,20.0,Master's,Full-time,5.0,70208.0
United States of America,15.0,Bachelor's,Full-time,3.0,150000.0
United States of America,25.0,Bachelor's,Full-time,8.0,250000.0
Netherlands,10.0,Bachelor's,Full-time,8.0,98612.0
United States of America,10.0,Bachelor's,Full-time,7.0,100000.0
Switzerland,11.0,Master's,Full-time,4.0,125729.0
United Kingdom of Great Britain and Northern Ireland,26.0,Master's,Full-time,,149756.0
United States of America,8.0,Bachelor's,Full-time,8.0,104000.0
United States of America,24.0,Master's,Full-time,9.0,200000.0
Brazil,35.0,Master's,Full-time,5.0,14563.0
Germany,11.0,High school,Full-time,8.0,14687.0
Spain,16.0,Master's,Full-time,6.0,92812.0
Other,15.0,Professional,Full-time,9.0,110109.0
Other,6.0,Bachelor's,Full-time,5.0,24000.0
Other,11.0,Bachelor's,Full-time,7.0,55511.0
United States of America,20.0,Master's,Full-time,7.0,280000.0
United States of America,7.0,Bachelor's,Full-time,6.0,194000.0
Other,18.0,Bachelor's,Full-time,13.0,66000.0
Germany,12.0,Master's,Full-time,8.0,92812.0
Canada,20.0,Bachelor's,Full-time,9.0,109438.0
Other,11.0,High school,Student,9.0,37554.0
United States of America,11.0,Bachelor's,Full-time,5.0,144000.0
United States of America,10.0,Bachelor's,Full-time,,250000.0
Other,31.0,Professional,Full-time,2.0,200000.0
Netherlands,11.0,Professional,Full-time,5.0,81210.0
Other,25.0,Bachelor's,Full-time,8.0,225019.0
Other,17.0,Bachelor's,Full-time,7.0,99346.0
Sweden,25.0,Master's,Full-time,13.0,104822.0
Other,7.0,Master's,Full-time,4.0,12762.0
Other,16.0,Master's,Full-time,3.0,75000.0
United Kingdom of Great Britain and Northern Ireland,13.0,Bachelor's,Full-time,3.0,54457.0
United States of America,30.0,Associate's,Full-time,3.0,125000.0
Canada,40.0,Master's,Full-time,4.0,218875.0
United States of America,20.0,Professional,Full-time,9.0,90000.0
France,13.0,Master's,Full-time,6.0,85039.0
United States of America,25.0,Bachelor's,Full-time,7.0,138000.0
Canada,16.0,Master's,Full-time,2.0,109438.0
Switzerland,30.0,Some college,Full-time,4.0,99194.0
Other,18.0,Bachelor's,Full-time,7.0,55687.0
United States of America,33.0,Master's,Full-time,9.0,95000.0
United States of America,15.0,Master's,Full-time,6.0,212750.0
Germany,20.0,Professional,Full-time,2.0,95132.0
Other,10.0,Master's,Full-time,6.0,37125.0
Other,10.0,Some college,Full-time,9.0,82018.0
Other,20.0,Some college,Full-time,3.0,100933.0
Germany,28.0,Bachelor's,Full-time,5.0,116015.0
Germany,26.0,Bachelor's,Full-time,8.0,92812.0
Germany,10.0,Associate's,Student,3.0,23203.0
Other,38.0,Master's,Full-time,5.0,107198.0
Brazil,18.0,Some college,Full-time,15.0,90000.0
Sweden,19.0,Bachelor's,Full-time,3.0,82283.0
Spain,20.0,Master's,Full-time,7.0,87011.0
Other,25.0,Bachelor's,Full-time,5.0,46406.0
Other,14.0,Bachelor's,Full-time,1.0,60000.0
Other,16.0,Bachelor's,Full-time,3.0,94874.0
United States of America,30.0,Master's,Full-time,9.0,240000.0
Netherlands,2.0,High school,Full-time,5.0,78890.0
Other,15.0,Master's,Full-time,6.0,14243.0
United States of America,30.0,Bachelor's,Full-time,1.0,376000.0
United Kingdom of Great Britain and Northern Ireland,16.0,Bachelor's,Full-time,5.0,108913.0
Canada,5.0,High school,Full-time,11.0,25535.0
United States of America,6.0,Bachelor's,Full-time,4.0,90000.0
United States of America,10.0,Some college,Full-time,2.0,120000.0
United States of America,15.0,Bachelor's,Full-time,12.0,185000.0
Spain,12.0,Bachelor's,Full-time,5.0,31324.0
Spain,18.0,Master's,Full-time,4.0,52207.0
Sweden,8.0,High school,Full-time,3.0,15723.0
Other,26.0,Professional,Full-time,5.0,92812.0
Other,12.0,Bachelor's,Full-time,2.0,67289.0
Other,19.0,Professional,Full-time,3.0,139218.0
United Kingdom of Great Britain and Northern Ireland,30.0,Some college,Full-time,4.0,204212.0
United States of America,18.0,Bachelor's,Full-time,10.0,119000.0
Italy,42.0,Bachelor's,Full-time,3.0,69609.0
Other,12.0,Some college,Full-time,6.0,275124.0
United Kingdom of Great Britain and Northern Ireland,15.0,Professional,Full-time,4.0,61264.0
Switzerland,29.0,Bachelor's,Full-time,6.0,148791.0
Spain,12.0,Primary school,Full-time,17.0,174022.0
Italy,15.0,High school,Full-time,8.0,30164.0
France,9.0,Master's,Full-time,6.0,61488.0
United Kingdom of Great Britain and Northern Ireland,25.0,High school,Full-time,9.0,204212.0
United States of America,22.0,Some college,Full-time,10.0,114038.0
Germany,30.0,Master's,Full-time,4.0,106733.0
Switzerland,35.0,Bachelor's,Full-time,10.0,223187.0
India,24.0,Master's,Full-time,5.0,13949.0
Other,15.0,Bachelor's,Full-time,10.0,237226.0
Germany,42.0,Professional,Full-time,7.0,208826.0
United States of America,27.0,Bachelor's,Full-time,3.0,310000.0
Spain,10.0,Professional,Full-time,3.0,48146.0
United States of America,30.0,Associate's,Full-time,6.0,300000.0
United States of America,20.0,Master's,Full-time,9.0,350000.0
Canada,8.0,Bachelor's,Full-time,7.0,31372.0
United States of America,22.0,Some college,Full-time,9.0,180000.0
United States of America,17.0,Master's,Full-time,4.0,117700.0
Other,37.0,Master's,Full-time,9.0,150000.0
Germany,42.0,Professional,Full-time,9.0,162421.0
France,34.0,Master's,Full-time,6.0,89331.0
United States of America,16.0,Master's,Full-time,8.0,75000.0
United States of America,20.0,Bachelor's,Full-time,8.0,172000.0
Germany,9.0,Some college,Student,10.0,16692.0
Other,41.0,Bachelor's,Full-time,10.0,69609.0
Sweden,20.0,Some college,Full-time,8.0,58700.0
United States of America,30.0,Professional,Full-time,4.0,95000.0
United States of America,9.0,Master's,Full-time,5.0,220000.0
United States of America,45.0,Associate's,Full-time,6.0,110000.0
Other,6.0,Master's,Full-time,7.0,48726.0
India,17.0,Master's,Full-time,7.0,72000.0
Germany,41.0,Master's,Full-time,7.0,203026.0
United States of America,25.0,Master's,Full-time,9.0,170000.0
United States of America,14.0,Professional,Full-time,7.0,175000.0
Italy,22.0,Some college,Full-time,4.0,46406.0
Canada,10.0,Bachelor's,Full-time,8.0,72958.0
Switzerland,15.0,Bachelor's,Full-time,12.0,182270.0
United States of America,26.0,Bachelor's,Full-time,6.0,233000.0
United States of America,10.0,Bachelor's,Full-time,,134000.0
Other,30.0,Master's,Full-time,3.0,116015.0
Other,15.0,Master's,Full-time,5.0,116015.0
United States of America,27.0,Bachelor's,Full-time,7.0,350000.0
Other,15.0,Master's,Full-time,3.0,87011.0
United Kingdom of Great Britain and Northern Ireland,16.0,Bachelor's,Full-time,12.0,56499.0
United States of America,30.0,Bachelor's,Full-time,10.0,294400.0
Other,11.0,Master's,Full-time,13.0,66824.0
Germany,13.0,Master's,Full-time,8.0,78890.0
United States of America,46.0,Bachelor's,Full-time,6.0,130000.0
United States of America,10.0,Bachelor's,Full-time,4.0,210000.0
Sweden,38.0,Master's,Full-time,4.0,74423.0
Other,8.0,Bachelor's,Full-time,3.0,16542.0
Netherlands,14.0,Bachelor's,Full-time,3.0,121815.0
United States of America,28.0,Bachelor's,Full-time,6.0,131200.0
United States of America,40.0,Some college,Full-time,3.0,170000.0
Germany,8.0,Bachelor's,Full-time,8.0,41765.0
France,6.0,Master's,Full-time,9.0,48726.0
Other,14.0,Professional,Full-time,6.0,73017.0
United States of America,14.0,Bachelor's,Full-time,6.0,144600.0
Germany,9.0,Bachelor's,Full-time,5.0,127616.0
United States of America,12.0,Bachelor's,Full-time,4.0,220000.0
Germany,22.0,Master's,Full-time,6.0,92812.0
Germany,17.0,Master's,Full-time,7.0,23203.0
United Kingdom of Great Britain and Northern Ireland,10.0,High school,Full-time,9.0,83319.0
Italy,9.0,Master's,Full-time,2.0,32484.0
Other,11.0,Master's,Full-time,6.0,62261.0
Sweden,12.0,Some college,Full-time,6.0,52411.0
United States of America,45.0,Professional,Full-time,7.0,273000.0
Other,15.0,Master's,Full-time,9.0,40056.0
Italy,12.0,Professional,Full-time,2.0,55687.0
United States of America,47.0,Bachelor's,Full-time,4.0,135000.0
Other,20.0,Some college,Full-time,6.0,139218.0
